Strategy,Model,Tuning MSE,Train MSE,Test MSE,Train R2,Test R2,Train MAE,Test MAE
Strategy 3: Enchanced data with Dimensionality reduction,LinearRegression,8.950696135965723,0.3468806197748031,4.056310959284168,0.8698001646381579,-0.46845678152988524,0.42342490256175475,1.3734261334893851
Strategy 3: Enchanced data with Dimensionality reduction,Ridge,2.4141851219798918,0.4190774577233671,2.302154810079879,0.8427014572481308,0.1665789736223693,0.47872391186313795,1.172918426272539
Strategy 3: Enchanced data with Dimensionality reduction,Lasso,2.2213795606677897,1.5892354335773895,2.2332484049418695,0.40348875086387237,0.19152431901906752,0.993090210545691,1.1528627442623596
Strategy 3: Enchanced data with Dimensionality reduction,ElasticNet,2.2099037732359035,1.1591859295250095,2.172341932030638,0.5649055941035215,0.21357354652734217,0.8478149241690549,1.1424731838824718
Strategy 3: Enchanced data with Dimensionality reduction,DecisionTreeRegressor,2.686537305622738,2.2792745193868553,2.495366403715595,0.144486171175347,0.09663293699143183,1.2147698961964895,1.2056096326817003
Strategy 3: Enchanced data with Dimensionality reduction,RandomForestRegressor,2.3803833258611307,0.37015643333656095,2.2396711152587234,0.8610637091520565,0.18919918354122678,0.49041935263495945,1.1551538253710938
Strategy 3: Enchanced data with Dimensionality reduction,ExtraTreesRegressor,2.250965492094995,0.0002694974229168384,2.204970653101165,0.9998988455448534,0.20176136861258032,0.010306121394960364,1.1333072900423047
Strategy 3: Enchanced data with Dimensionality reduction,GradientBoostingRegressor,2.391488312600306,0.061194772183341295,2.3217964236104947,0.977030860736904,0.15946835984577878,0.1982152967324367,1.1673602193500983
Strategy 3: Enchanced data with Dimensionality reduction,AdaBoostRegressor,2.3743734701187087,1.0068312402673747,2.59666143572064,0.6220911338169444,0.059962332056018974,0.8982967488202483,1.2785861929173787
Strategy 3: Enchanced data with Dimensionality reduction,BaggingRegressor,2.381585548862634,0.33251906647827234,2.3976115617953813,0.8751906989261863,0.1320219300903368,0.4587295432591115,1.2160312210759026
Strategy 3: Enchanced data with Dimensionality reduction,HistGradientBoostingRegressor,2.3868351005820054,0.7882293407915283,2.345398771222589,0.7041422191154507,0.1509238898189732,0.7158575160365203,1.186672417113224
Strategy 3: Enchanced data with Dimensionality reduction,SVR,2.677773988748211,0.017491346522972708,2.786331694070533,0.9934347141128078,-0.00870167815526357,0.10553814379806462,1.3086299511177433
Strategy 3: Enchanced data with Dimensionality reduction,KNeighborsRegressor,2.369034744472134,6.588876170155426e-14,2.4027230507945028,0.9999999999999752,0.1301714800731123,1.2474556621797706e-07,1.2005346255032436
Strategy 3: Enchanced data with Dimensionality reduction,CatBoostRegressor,2.3191072863334363,0.19754639721356873,2.27353499290572,0.9258519878964999,0.17693985695636205,0.3675019070185219,1.1663325276311682
