Strategy,Model,Tuning MSE,Train MSE,Test MSE,Train R2,Test R2,Train MAE,Test MAE
Strategy 2: Enchanced data with Feature Selection,LinearRegression,2.646039029373905,3.129288736972624e-29,2.670773841959155,1.0,0.03313232157880197,4.306226157550723e-15,1.2729327165578408
Strategy 2: Enchanced data with Feature Selection,Ridge,2.6424268923300183,2.9336190921274912e-05,2.666309498945246,0.999988988813412,0.034748493228277,0.004082601418148809,1.2720807530707299
Strategy 2: Enchanced data with Feature Selection,Lasso,2.663829712010169,2.656772290473805,2.777460175668291,0.0027943474093152787,-0.005490030554523795,1.3352952978032517,1.3056436644803648
Strategy 2: Enchanced data with Feature Selection,ElasticNet,2.158812466624982,1.761799227940529,2.1359324037995653,0.3387178287233339,0.22675444394371236,1.0682911509411062,1.1580770533395495
Strategy 2: Enchanced data with Feature Selection,DecisionTreeRegressor,2.6916557505932666,2.0688669686607053,2.219448015466535,0.22346155031650006,0.196520305696673,1.1738654996671511,1.1579729819720497
Strategy 2: Enchanced data with Feature Selection,RandomForestRegressor,2.177734660984939,0.3031105433183778,2.128861334598979,0.8862290350434908,0.22931429688015992,0.4421198644547299,1.1233584680529338
Strategy 2: Enchanced data with Feature Selection,ExtraTreesRegressor,2.098620351054943,0.0001938870537978583,1.8666284524031884,0.9999272255034033,0.32424726875184595,0.009681553952270834,1.0793951856950894
Strategy 2: Enchanced data with Feature Selection,GradientBoostingRegressor,2.1517350148886956,0.4671189735148152,2.0976851754373893,0.8246693243182466,0.24060062152401074,0.5691387122179592,1.145838306630892
Strategy 2: Enchanced data with Feature Selection,AdaBoostRegressor,2.1911115794192204,0.7597829754574332,2.2239972034333095,0.7148194143001989,0.19487341866377084,0.7749501199550598,1.1838674561178342
Strategy 2: Enchanced data with Feature Selection,BaggingRegressor,2.2024417915856245,0.3256241967939749,2.1279019176049427,0.8777786523792206,0.22966162291244607,0.44446906556120386,1.1275530244766507
Strategy 2: Enchanced data with Feature Selection,HistGradientBoostingRegressor,2.2123182381232325,0.007241512903739268,2.1309974140526164,0.9972819358185834,0.2285409980894444,0.030317264400067115,1.1386268988355515
Strategy 2: Enchanced data with Feature Selection,SVR,2.677773988748211,0.017491346522972708,2.786331694070533,0.9934347141128078,-0.00870167815526357,0.10553814379806462,1.3086299511177433
Strategy 2: Enchanced data with Feature Selection,KNeighborsRegressor,2.380189551315379,2.2456951927451968e-14,2.1468121922874985,0.9999999999999916,0.2228157668188363,6.148537053921122e-08,1.1331440866014124
Strategy 2: Enchanced data with Feature Selection,CatBoostRegressor,2.156205491555796,0.09523241118362895,1.992798120342478,0.9642550100802132,0.27857160276653414,0.26218043362234816,1.114686919332954
